Traffic,Sources,UDP,TCP
1011805,100277,140684,785230
1009711,100659,136931,780345
959185,99157,135641,736368
967501,98372,135336,735690
989105,98498,134836,766136
1092523,97653,128189,886836
994039,97794,132078,778898
968122,98205,130420,755043
978919,97991,133292,748601
1000369,98624,138823,777138
1039524,98816,141368,814464
967944,97510,136674,753813
963397,97083,135924,749391
977444,98166,133275,765581
985157,98352,129785,776036
1002896,97791,130437,791082
1019009,96633,126594,806474
1042031,95827,124887,826350
1021827,96843,133508,809723
992285,97523,140003,773462
993761,97854,125477,789986
989989,98199,121866,790744
992330,98707,125360,789058
987961,96551,121758,789405
982142,94729,111443,793767
1080478,95529,119284,884839
952391,96642,129030,745662
1067977,97408,129909,859939
968527,97949,129417,760392
967407,98107,133648,752975
953979,97636,127910,746631
938292,98215,131887,726393
932658,97623,130829,723269
923209,97141,128232,716405
963446,97939,129221,755257
1125984,97727,130216,917535
1122844,97277,128272,914858
1135246,97062,125728,929753
1089619,97468,128324,881377
1071911,97431,128027,860599
1096393,97919,130647,876751
1099711,97799,126800,894152
1149900,98143,126035,943634
1148876,97944,127788,941260
1083441,96825,127061,875710
1096036,97637,130232,884563
1102680,98319,129161,893950
1166717,98935,130286,956710
1236927,98911,129764,1027552
1236468,98371,127882,1028435
1152011,98898,131679,940535
1127002,99807,130287,916252
1157141,99830,130426,946025
1194395,100190,129664,983952
1185539,99939,129985,973710
1161812,100425,137527,943420
1155233,101098,139661,932485
1150577,100968,146475,912400
1095119,100457,138955,856869
1098854,101453,134654,869065
1120685,100668,146768,877086
1095368,101949,151397,848334
1093948,101679,151548,849229
1224460,100595,145185,995001
1353055,100489,145139,1123080
1503310,100804,142151,1276227
1367823,100586,138394,1145974
1371069,100998,141898,1144681
1351537,101031,144401,1122261
1521269,101534,142976,1293271
1277473,102134,141477,1052041
1258761,101219,139581,1035176
1269254,100373,139258,1050147
1286481,100023,138877,1066464
1230158,100725,142886,1006060
1230711,101174,140623,1006670
1274056,101110,125480,1057398
1246920,101568,129162,1023591
1249286,101579,128457,1026218
1268806,101100,127335,1046601
1240395,101562,130092,1020262
1239248,102662,129281,1014740
1184494,101788,131538,958076
1280262,102318,130914,1054195
1273068,102520,130206,1046526
1275059,102545,129447,1048858
1277671,103547,133141,1047905
1266791,103407,134509,1035486
1281805,104365,135866,1049021
1307744,104552,136526,1074124
1270894,104800,136130,1019029
1274167,105206,132297,1034070
1272680,104007,133900,1042737
1254329,105198,134115,1023503
1287821,104429,135024,1056424
1354077,104486,138781,1116562
1363100,104626,135674,1125274
1435091,103872,134844,1192117
1431484,103775,132584,1181667
1396758,103712,135002,1120996
1386250,103251,131955,1113162
1392909,104030,130127,1122483
1363950,104471,132680,1086363
1377102,102701,125133,1110903
1384784,102683,123735,1114648
1188302,102391,121353,919114
1110766,101622,121992,882400
1054124,102330,122391,836721
1053533,102352,122805,833700
1064960,103503,120766,848426
1102020,103383,122374,882372
1189590,102995,121801,970360
1128569,102633,121918,909599
1172799,102227,119830,956819
1124308,102719,120739,906081
1099989,102862,119503,882522
1201073,103361,120789,986591
1147508,103051,117492,937020
1073245,102860,118489,861906
1064911,103400,120039,858693
1112214,103378,117796,909670
1094359,103304,120716,888731
1075811,102970,119464,872354
1044385,103313,118320,842227
1035293,103048,119993,831981
1060722,103764,119201,857157
1096042,104201,120708,891632
1027290,104975,121436,820213
1013970,105767,121681,807170
988511,104583,119297,784471
956158,105406,118899,770279
1053335,105418,122145,862917
1012946,105312,120242,824107
997442,106362,122223,808064
1021773,105448,120868,832456
1029883,105340,121134,840902
1027405,105917,127834,831910
1032857,106118,129901,834889
997429,105946,122260,806848
1029092,106194,123278,837028
981780,105552,119885,793348
972070,105719,120772,783597
969539,106035,119021,782401
1018739,106359,119977,830026
977851,106061,118430,790830
981654,106049,119398,794397
1000040,106813,121297,811158
1033655,107656,121408,834501
1076523,107550,119644,870815
1093694,107267,119060,887849
1181513,107321,119687,976403
1005249,107434,120612,799955
998203,107904,121280,790750
1054631,108309,121494,849112
1018766,108114,121683,827976
981883,108276,123735,789831
991071,108612,119085,805098
987045,109526,122978,794162
988991,109532,122271,789957
997744,108774,122030,798438
1138579,108928,120537,940305
1014457,109438,121769,814887
1060470,109639,121178,861008
1048908,109567,125695,844945
993179,110434,121696,792606
1015503,109929,123441,814796
1018282,111112,124946,815497
1097570,111827,124316,900281
1128169,112274,126112,932678
1083696,112150,124651,890289
1144690,113834,125986,950782
1078843,112863,123704,886333
1112459,113429,124979,914178
1128949,113147,126554,928510
1088230,112702,135199,880000
1068038,113312,129877,865692
1056759,114160,132692,852411
1251303,114428,138152,1037644
1271447,112680,130221,1066020
1329151,113270,137193,1115486
1269484,113172,140691,1050005
1256665,112662,133829,1041054
1282539,112853,131560,1065446
1251570,113950,140798,1024608
1306238,114262,133696,1087248
1237783,113609,142462,1004276
1252009,113954,143094,1014144
1228822,114454,136409,1013770
1226446,114539,130656,1020380
1205050,114925,131443,999069
1234966,114805,129957,1028827
1282627,114872,127569,1082165
1265344,115231,128671,1063316
1237724,115350,128961,1038099
1232599,114620,128521,1035175
1211366,115703,131362,1010846
1213715,115269,130947,1015132
1211583,115697,127981,1014006
1190109,115226,129923,991390
1204436,116725,141671,993094
1216046,116181,140588,1007356
1197850,116750,131799,997114
1203100,117541,132225,1001685
1186573,117770,131830,986560
1212921,116800,128513,1015587
1232884,117203,131198,1032407
1231947,118280,132686,1022977
1297508,117619,132269,1090874
1310541,117891,133432,1098262
1264265,117742,131459,1055026
1451515,118445,133860,1239851
1334729,118715,135783,1119611
1279214,118240,133257,1067058
1265742,117904,132273,1051139
1265229,117531,135340,1054477
1287557,117868,134694,1082725
1292923,117981,133665,1089359
1325883,117942,136021,1119445
1324492,117884,138946,1113991
1305178,119965,145734,1087563
1286284,120483,151919,1063122
1308280,121184,147623,1090340
1345122,121088,148798,1124966
1312034,120933,146632,1095209
1346591,120290,146982,1128887
1329273,120533,147340,1112175
1370408,120354,145153,1154992
1462989,120529,145093,1246965
1385172,121956,148295,1165491
1378159,122016,149930,1153384
1365264,121643,147774,1137653
1379440,120727,147968,1151649
1391727,120500,148462,1163080
1408599,121013,149681,1177739
1380460,121778,147916,1150437
1385654,122147,147503,1155729
1409414,121838,145994,1188517
1391132,121811,146297,1173114
1303559,121731,143904,1078157
1368039,121711,145223,1096118
1381819,122024,145443,1165196
1639123,122693,143222,1425780
1583885,122690,143624,1369457
1530750,122899,143043,1314584
1527870,122811,141382,1316713
1238809,122794,142406,1025850
1211868,122546,138922,1002832
1217447,122477,142409,1004765
1233562,122519,139011,1023928
1238828,123048,144832,1023032
1241176,122296,141618,1028144
1248126,121714,137566,1039218
1241294,122039,136703,1034271
1262076,122112,137787,1053435
1288675,121653,135626,1082881
1295427,121513,139227,1083514
1260871,121140,137160,1052440
1236069,120912,134820,1030437
1243467,120476,136843,1035481
1298118,121392,134198,1092508
1298972,121470,135565,1093296
1257357,122493,136195,1051137
1252891,123231,137478,1044883
1295338,123280,145053,1079490
1291877,123363,151428,1070215
1258922,123236,138918,1049329
1290288,123578,137541,1081619
1322901,123718,137867,1114774
1331586,123965,136578,1124293
1351132,123549,134998,1146313
1373464,122608,135769,1167520
1350689,123321,134146,1146398
1305335,124341,133765,1102488
1585119,124039,133439,1382355
1298980,124437,136286,1092164
1241539,124378,136219,1035347
1243870,125161,132967,1040263
1239096,125850,137416,1031567
1260155,125442,136649,1052985
1269135,126197,137275,1061093
1254096,125804,135119,1049512
1227375,125662,136901,1019535
1237560,125991,138490,1028431
1239520,126887,137915,1030090
1276430,125457,136605,1067648
1291290,126058,139881,1080109
1326546,125899,136672,1119932
1257168,126140,138148,1047988
1282545,125589,136879,1075236
1300107,126190,142789,1085648
