Traffic,Sources,UDP,TCP
1521453,121446,114878,1345552
1524547,122390,121337,1341838
1565996,123762,126702,1377170
1603945,123805,132391,1409505
1550566,124719,133245,1356546
1468291,124867,142145,1262656
1506449,125251,139476,1305885
1526906,124690,137935,1325674
1488196,124968,141687,1284672
1586941,125297,144049,1379656
1558758,125188,140324,1354224
1659627,125178,140101,1455091
1587111,124605,135290,1388826
1495393,124851,138916,1291689
1525152,124920,136696,1324066
1439566,124925,140154,1236228
1656950,124932,140590,1452849
1470339,124556,136393,1270807
1570789,124650,135023,1374126
1509109,123733,130007,1316843
1513254,124176,132493,1315808
1549475,123868,130863,1352998
1500681,123965,131799,1306434
1557775,123520,131980,1362718
1551378,123845,133434,1355778
1486556,123448,131191,1293217
1464830,123819,134623,1268798
1632767,123607,133035,1436413
1711947,123630,134581,1514504
1621330,123406,133367,1426690
1638938,123523,133733,1444421
1646764,122893,132368,1453950
1608438,123071,133257,1408307
1643548,122550,133290,1446417
1641003,123267,137338,1439305
1553220,122676,131590,1357440
1360761,122442,133842,1162096
1293574,121313,131516,1096327
1302106,120568,127734,1109658
1358159,120889,127336,1163402
1431080,120640,124030,1233937
1288316,119673,121466,1099916
1309186,119941,123420,1117672
1668174,119997,124415,1478308
1706374,119955,127188,1516246
1625311,119790,125058,1433686
1550078,119464,124577,1360954
1287094,119596,124397,1093357
1120845,119307,126015,932242
1143570,119586,125765,957668
1110465,118730,122714,922261
1160376,118490,122025,971829
1140647,117989,121064,954846
1148539,117950,123182,959799
1168955,117305,120573,985032
1157235,116176,117792,971701
1176685,116197,117184,994272
1756325,116381,116385,1576876
1187869,115980,113654,1012817
1122527,115541,113854,947093
1160138,115729,114296,983719
1171678,115833,115800,994568
1158974,116578,116147,982624
1202318,117771,125020,1011297
1142880,117430,125092,948273
1146886,117445,123676,957815
1216663,117791,126980,1027627
1112373,117299,123849,926681
1157761,117347,124249,970471
1156186,116570,121393,970437
1144053,116708,122359,959984
1112320,116994,124698,924634
1084350,116294,123902,898390
1114437,116080,123598,925287
1144219,116124,123947,956685
1149231,116356,123404,962696
1195478,115974,120935,1010372
1286043,116306,122595,1098383
1306227,115680,121986,1122175
1314538,115990,121895,1132831
1278825,116339,123958,1093140
1242829,116082,123336,1060331
1250032,116506,126038,1065123
1274122,114796,117522,1097255
1300581,115265,118487,1117969
1358688,115559,120483,1174595
1277513,114948,121859,1091450
1321092,114714,121099,1133719
1196176,114668,120158,1012237
1190063,114309,119193,1008210
1247926,114120,123494,1061067
1220152,114466,130111,1028597
1251686,114156,128388,1062565
1324222,114202,131046,1126464
1244387,114374,130806,1047165
1200137,115935,142854,991461
1218365,115912,136662,1014559
1226912,115630,130334,1031291
1292017,115426,130016,1100477
1264809,114772,130995,1075323
1337029,113869,125995,1153282
1318860,114634,128916,1131290
1333941,114627,129894,1145445
1331611,114917,128687,1144639
1287608,114794,131280,1097188
1278977,114602,127349,1092863
1413456,115450,136389,1216601
1331841,116077,135755,1133875
1216443,116355,135791,1019013
1230550,116452,138903,1016159
1209889,116008,138157,990476
1329476,115264,137855,1109761
1307981,114987,136274,1093537
1266009,114148,136806,1053186
1225349,112423,124074,1027594
1207949,110716,114131,1014926
1165427,110225,115772,969445
1131722,110244,114587,932992
1169755,109638,113315,983889
1267882,110896,120265,1075774
1184474,111007,124949,986169
1205628,110914,122061,1006934
1203817,110018,120185,1006965
1250369,110351,120585,1056023
1189418,110627,121059,993803
1175285,110660,121937,977396
1158797,110143,118671,963980
1193519,109604,118479,998567
1200122,109942,118783,1005804
1146873,110368,118595,953059
1130799,110685,123213,935821
1098006,110800,122321,898917
1098483,110187,118972,902643
1089890,110712,120080,887248
1065024,110363,120498,866720
1095199,110441,123491,891690
1097643,109847,121900,897796
1105057,109454,123378,903249
1118223,109918,124187,915319
1142498,110292,125734,938819
1205811,110256,124768,1003254
1179013,110815,127340,975058
1168323,111387,130511,960288
1173958,111690,135786,960933
1125222,111337,136195,912365
1118459,110994,134673,905743
1121929,111270,137174,907355
1115717,110401,135717,901617
1120606,109878,133214,909614
1139729,108729,130014,929183
1177759,106994,123895,972962
1227495,106984,123978,1019630
1129324,106934,122113,923605
1114457,106137,120100,908922
1114843,106126,120863,910388
1122988,106498,122151,916050
1085107,106150,122919,878846
1087288,106257,120738,883630
1055419,105546,119423,853071
1110366,103855,113246,912491
1186733,102946,112265,988908
1115291,102787,113420,917084
1098365,103125,112491,902498
1151753,102465,110890,959819
1120924,102152,112326,929721
1186808,102492,112241,995303
1083656,101728,109281,894426
1150396,101692,108360,963114
1127389,101289,111046,937108
1136360,101213,111540,943076
1117143,100903,110563,927760
1124819,100936,111423,932678
1085064,100791,111006,893156
1190606,100845,109503,976511
1143069,100541,111725,933712
1085980,100228,110879,899102
1151757,100703,108891,967246
1086320,100131,108056,900435
1116990,100112,110973,930532
1132883,100054,111999,942747
1128574,100109,110496,935628
1086195,98777,109819,898221
1135723,99007,110452,947802
1225486,99303,110233,1032560
1235283,99179,111269,1046440
1160492,99221,112441,968786
1353481,99636,112936,1161967
1341191,99662,113706,1147891
1282628,99703,110466,1095091
1258374,98667,111491,1069476
1260456,98321,111275,1072008
1230298,98148,112423,1040027
1217441,97556,109184,1031302
1275621,98092,114219,1078598
1260140,98019,114794,1067498
1254465,97707,114333,1060175
1283589,97108,112149,1086894
1261862,96946,111571,1062895
1265292,96687,110074,1077988
1289647,96858,112484,1099238
1256616,96301,110198,1041435
4211646,96157,109072,3962962
5850915,95876,109589,5661491
5788847,95462,109201,5597128
5299490,95216,110676,5109932
1039187,94849,110380,848261
1026795,94145,108432,838417
1130808,94648,109277,943893
1100634,94362,107467,910256
1053362,94658,108485,843740
1044745,94294,108675,841877
1050369,94445,110088,844109
1042838,94784,110148,836134
1047752,94831,110526,842569
1035900,94624,114731,841878
1035033,94783,112415,842358
1046746,93969,113458,855408
1051153,92974,108573,858993
1067510,92785,107602,862775
1106438,92412,103263,905045
1098136,92244,108553,891021
1119754,91829,105724,915739
1124653,91738,104761,921049
1132667,92225,107391,924738
1215869,92230,110443,1007589
1322713,92607,110270,1114963
1160535,92009,110078,949930
1104498,91500,110807,895112
1041572,91143,109660,840427
1050755,91306,110498,864290
1133896,91039,109712,948610
1109103,90413,109194,922693
1123293,90704,109394,932281
1201604,90475,110427,1006219
1175931,90442,110137,985368
1151012,89849,109786,958514
1215799,89473,109500,1025079
1211985,89560,108900,1023673
2434790,89296,106785,2246914
2391758,88869,106211,2203659
2433843,88832,107462,2237854
2336343,88789,107929,2130163
2316701,88362,110011,2116856
2268855,88197,105560,2044792
2235134,87959,104864,2012345
2202584,87884,109047,1972064
2228173,87448,107281,2001680
2220330,87102,105777,1994283
2197498,85862,99908,1980067
2181336,86096,101060,1959437
2211459,85400,98744,1991248
1182783,85240,104189,954369
1015982,84731,98646,795343
989124,84577,98435,770155
1190720,84046,93739,975083
1095905,83494,94721,869523
1010420,83354,93862,804223
983923,82260,92546,783673
970804,82209,91422,771565
1071976,81677,90345,872011
1264033,82774,92162,1062529
1216063,82915,93337,994746
1304874,81943,91809,1069734
1294325,82552,90758,1055182
1249029,81774,89855,1030484
1275724,81292,89110,1073228
1215271,81434,90725,1011348
1234602,80300,87656,1032524
1638920,80337,88368,1437944
1517030,80305,86717,1316242
1513946,80529,89569,1309033
1496832,80591,89931,1292931
1478817,80332,88890,1297106
1449137,80254,92780,1280731
1581544,80411,91547,1417755
1783281,80600,91801,1618435
1823273,80336,95261,1653561
1847181,80429,93839,1679009
1604819,80690,94207,1439837
1372752,80508,94916,1203705
1224343,80293,91330,1061640
1351612,80466,91349,1185402
1292311,80043,91867,1126258
1287588,79758,91087,1105361
1288818,79942,94206,1088923
1307372,79896,93251,1123223
1321357,79757,93229,1135898
1304880,80218,94550,1115211
1309652,79761,96878,1121932
1397146,79897,96008,1222328
1367317,79939,95802,1197024
1395255,79530,94296,1226884
1370539,78908,94287,1202246
1245213,79039,92179,1079429
1217170,79243,94475,1050529
1210818,79287,95723,1026734
1183632,79623,97809,1008640
1158565,78853,96491,982316
1174325,78782,96339,998377
1203674,79060,96919,1028248
1170395,78966,94765,998443
1166025,78960,98573,988514
1317655,79021,94114,1146704
1286412,79509,97376,1115676
1205077,79882,98878,1033782
1264394,79211,98421,1091394
1233792,78965,98859,1046654
1260557,78801,97593,1074164
1325765,79407,99267,1148091
1340846,78836,99189,1162883
1380816,79501,101501,1195500
1440972,79498,100402,1255324
1416043,78998,97638,1239224
1435076,79083,101090,1260058
1317359,78959,101434,1139282
1208453,78846,98356,1038221
950063,78789,101427,771101
917023,79144,98182,733764
937197,79095,101427,723721
909195,81470,113308,718879
941926,81327,117219,742261
938268,81467,115339,749021
1016639,82088,116689,825699
1052417,82046,115066,859839
1000193,81998,116586,810000
999659,81971,116100,809063
959103,81455,114801,770114
988060,81817,116640,797127
945589,81504,115098,753772
1006470,81803,118824,793300
1139138,81438,114825,912008
1049191,81904,113593,819355
1077266,82075,116307,848318
1649091,81817,114837,1440582
1635394,81557,112520,1449365
1644571,79558,102653,1468605
1651673,79574,104946,1472909
1624854,79621,104461,1445914
1609111,79707,105200,1426742
1650140,79552,102894,1472138
1683759,79541,103633,1505537
1622823,80093,104266,1444190
1611422,80846,110629,1420815
1621573,80702,111260,1434974
1657754,80996,111208,1471268
1597021,81272,108283,1414497
1554634,81376,111063,1368390
1580185,80895,108693,1397589
1720833,81622,109320,1538055
1809947,81057,110047,1626155
1785524,80974,110921,1600633
1844965,81100,108429,1663009
1839863,80914,109388,1657215
1803746,81027,110964,1619257
1814533,80648,108335,1632862
1813953,80826,110332,1630360
1804855,80921,109149,1621389
1775927,81173,109512,1592242
1723877,81344,112470,1534995
1860001,81225,110522,1672851
2569317,81259,110905,2384915
2577534,81339,107174,2397138
2616425,81284,109653,2431506
2649252,81696,111737,2463177
2618576,81767,108345,2436010
2617565,81237,109563,2435222
2605799,81271,107631,2426614
2568422,81423,109569,2384546
2561283,81499,106943,2379523
2571034,81782,109899,2390136
2549733,81720,108346,2369476
2553401,82433,111837,2369587
2579495,82423,109518,2395492
2515263,82174,108953,2334073
2574730,82634,113023,2389144
2546551,81508,108840,2365435
2522858,80740,104116,2347751
2420927,80380,104975,2245311
2140424,80066,102840,1968071
1490222,80400,103253,1318546
1520291,80116,105591,1346443
1625648,80455,103839,1448978
1564185,80537,100513,1384757
1522201,80542,104446,1347581
1565932,80054,101950,1395551
1534747,80340,101715,1362297
1638461,80277,103406,1465534
1649852,80635,102939,1476572
1680466,80333,104195,1506539
1612196,80437,101392,1443584
1590968,80838,102871,1419292
1603918,80353,100324,1434312
1638074,80121,99465,1469931
1586698,80835,103250,1413593
1577460,81790,104611,1404650
1570217,81209,103329,1396604
1633946,81208,103007,1461389
1615046,81548,103807,1441948
1586055,82189,107643,1408553
1629715,82247,106868,1452762
1636450,83915,115483,1451357
1612446,84302,114518,1414886
1568778,84092,116102,1373679
1622637,83630,113517,1437636
1727160,84328,115805,1537599
1799649,85092,115273,1611329
1754750,85515,119106,1562746
1752297,86273,117609,1563152
1776125,86062,116619,1591269
1783525,86201,119110,1593340
1817713,86654,119688,1628140
1846773,86282,118482,1658150
1804568,86673,119455,1614333
1671193,86871,117205,1484084
1710025,87675,119346,1519134
1771112,87499,122842,1575488
1705911,88074,123674,1511876
1696326,89007,121830,1503789
1707794,89181,122325,1514735
1731872,88873,123753,1535070
1728612,88731,123968,1533687
